Author,File Name,Number of Edits,Author Edits/Commits on the file 
kohsuke,lib/commons-jelly/poms/commons-jelly-tags-define-1.0.1-hudson-SNAPSHOT.pom,372,1
kohsuke,core/src/main/java/hudson/tasks/Ant.java,369,48
kohsuke,core/src/main/java/hudson/Launcher.java,363,23
kohsuke,war/images/utilities-system-monitor.svg,363,1
kohsuke,core/src/main/java/hudson/maven/MavenModule.java,362,65
kohsuke,war/images/system-log-out.svg,362,1
kohsuke,war/resources/scripts/yui/autocomplete/autocomplete-debug.js,359,1
kohsuke,core/src/main/java/hudson/model/LargeText.java,350,14
kohsuke,core/src/main/java/hudson/tasks/Mailer.java,342,39
kohsuke,war/images/warning.svg,342,2
kohsuke,core/src/main/java/hudson/tasks/Maven.java,341,29
kohsuke,core/src/main/java/hudson/tasks/junit/CaseResult.java,341,16
kohsuke,core/src/main/java/hudson/util/RobustReflectionConverter.java,332,9
stephenconnolly,core/src/main/java/hudson/model/HealthReport.java,327,7
huybrechts,core/src/main/java/hudson/ClassicPluginStrategy.java,324,1
kohsuke,war/images/error.svg,320,2
kohsuke,war/resources/scripts/yui/container/assets/container.css,318,2
kohsuke,core/src/main/java/hudson/model/View.java,316,34
kohsuke,core/src/main/java/hudson/security/LDAPSecurityRealm.java,313,24
kohsuke,remoting/src/main/java/hudson/remoting/RemoteClassLoader.java,313,11
kohsuke,war/images/search.svg,312,1
kohsuke,war/resources/scripts/yui/menu/assets/skins/sam/menu-skin.css,312,2
kohsuke,core/src/main/java/hudson/maven/MavenBuilder.java,311,12
kohsuke,core/src/main/java/hudson/tasks/Fingerprinter.java,310,17
kohsuke,remoting/src/main/java/hudson/remoting/BinarySafeStream.java,306,2
kohsuke,core/src/main/java/hudson/slaves/SlaveComputer.java,302,16
kohsuke,core/src/main/java/hudson/tasks/BuildTrigger.java,301,28
kohsuke,core/src/main/java/hudson/scm/SCM.java,298,27
kohsuke,war/images/lock.svg,298,1
kohsuke,core/src/main/java/hudson/PluginManager.java,297,20
kohsuke,core/src/main/java/hudson/tasks/MailSender.java,297,13
kohsuke,war/resources/scripts/yui/container/assets/skins/sam/container-skin.css,297,2
kohsuke,core/src/main/java/hudson/util/spring/DefaultBeanConfiguration.java,290,1
kohsuke,core/src/main/java/hudson/model/DependencyGraph.java,289,12
kohsuke,core/src/main/java/hudson/triggers/SCMTrigger.java,282,24
kohsuke,core/src/main/java/hudson/WebAppMain.java,279,29
kohsuke,remoting/src/main/java/hudson/remoting/RemoteInvocationHandler.java,274,11
kohsuke,war/images/green.svg,273,1
kohsuke,remoting/src/main/java/hudson/remoting/Request.java,272,18
kohsuke,war/images/save.svg,270,1
kohsuke,war/images/blue.svg,266,1
kohsuke,war/images/grey.svg,265,1
kohsuke,war/images/red.svg,265,1
kohsuke,war/images/yellow.svg,265,1
kohsuke,core/src/main/java/hudson/XmlFile.java,264,16
kohsuke,core/src/main/java/hudson/search/Search.java,263,18
kohsuke,core/src/main/java/hudson/tasks/junit/TestResult.java,260,18
kohsuke,core/src/main/java/hudson/matrix/MatrixConfiguration.java,258,23
kohsuke,war/images/stop.svg,258,1
kohsuke,war/resources/scripts/behavior.js,257,4
kohsuke,core/src/main/java/hudson/model/DirectoryHolder.java,255,3
kohsuke,core/src/main/java/hudson/tasks/test/AggregatedTestResultPublisher.java,252,8
kohsuke,core/src/main/java/hudson/model/AbstractItem.java,251,33
kohsuke,core/src/main/java/hudson/scm/SubversionUpdateEventHandler.java,250,9
kohsuke,core/src/main/java/hudson/tasks/test/AbstractTestResultAction.java,249,11
kohsuke,war/images/star-gold.svg,249,1
kohsuke,war/images/star.svg,249,1
kohsuke,core/src/main/java/hudson/maven/reporters/MavenAbstractArtifactRecord.java,248,14
kohsuke,core/src/main/java/hudson/security/AuthorizationMatrixProperty.java,246,3
kohsuke,war/images/gear2.svg,245,1
kohsuke,core/src/main/java/hudson/MarkupText.java,238,5
stephenconnolly,core/src/test/java/hudson/model/ResourceListTest.java,238,2
kohsuke,core/src/main/java/hudson/util/spring/DefaultRuntimeSpringConfiguration.java,236,1
kohsuke,core/src/main/java/hudson/TcpSlaveAgentListener.java,235,15
kohsuke,war/resources/scripts/yui/menu/assets/menu-core.css,235,2
kohsuke,core/src/main/java/hudson/Proc.java,234,12
kohsuke,core/src/main/java/hudson/model/Executor.java,234,23
kohsuke,core/src/main/java/hudson/util/KeyedDataStorage.java,234,2
kohsuke,war/resources/scripts/yui/container.css,233,4
kohsuke,war/resources/scripts/yui/button/assets/skins/sam/button-skin.css,232,2
kohsuke,war/images/redo.svg,230,1
kohsuke,war/images/undo.svg,229,1
kohsuke,war/pom.xml,228,485
kohsuke,core/src/main/java/hudson/security/SecurityRealm.java,227,21
kohsuke,debian/changelog,227,40
kohsuke,core/src/main/java/hudson/security/GlobalMatrixAuthorizationStrategy.java,226,15
kohsuke,core/src/main/java/hudson/lifecycle/WindowsInstallerLink.java,225,6
kohsuke,core/src/main/java/hudson/scm/SubversionChangeLogSet.java,224,18
kohsuke,maven-interceptor/src/main/java/hudson/maven/agent/PluginManagerInterceptor.java,224,13
kohsuke,war/images/star-large-gold.svg,224,1
kohsuke,war/images/star-large.svg,224,1
kohsuke,core/src/main/java/hudson/matrix/MatrixBuild.java,222,19
kohsuke,war/resources/scripts/sortable.js,222,3
kohsuke,core/src/main/java/hudson/maven/ProcessCache.java,218,14
kohsuke,core/src/main/java/hudson/maven/reporters/MavenArtifact.java,218,4
stephenconnolly,core/src/main/java/hudson/model/Slave.java,218,4
kohsuke,core/src/main/java/hudson/util/WriterOutputStream.java,217,5
kohsuke,core/src/main/java/hudson/Plugin.java,214,10
kohsuke,war/images/help.svg,213,1
kohsuke,core/src/main/java/hudson/model/RunMap.java,210,5
kohsuke,core/src/main/java/hudson/util/DescribableList.java,209,8
kohsuke,core/src/main/java/hudson/maven/MavenBuildProxy.java,207,10
kohsuke,core/src/main/java/hudson/util/ChartUtil.java,207,12
kohsuke,core/src/main/java/hudson/maven/MojoInfo.java,204,9
kohsuke,core/src/main/java/hudson/util/spring/RuntimeSpringConfiguration.java,204,1
kohsuke,maven-interceptor/src/main/java/hudson/maven/agent/ContainerFilter.java,200,1
kohsuke,core/src/main/java/hudson/tasks/JavadocArchiver.java,199,16
kohsuke,core/src/main/java/hudson/scm/SubversionTagAction.java,198,12
kohsuke,war/images/edit-delete.svg,196,1
kohsuke,war/images/up.svg,195,1
kohsuke,remoting/src/test/java/hudson/remoting/BinarySafeStreamTest.java,193,1
kohsuke,core/src/main/java/hudson/FileSystemProvisioner.java,192,4
kohsuke,war/images/next.svg,191,1
kohsuke,remoting/src/main/java/hudson/remoting/ProxyOutputStream.java,190,5
kohsuke,core/src/main/java/hudson/triggers/Trigger.java,189,23
kohsuke,core/src/main/java/hudson/security/Permission.java,187,16
kohsuke,core/src/main/resources/lib/layout/layout.jelly,187,45
kohsuke,war/resources/scripts/yui/tabview/assets/skins/sam/tabview-skin.css,187,2
kohsuke,core/src/main/java/hudson/matrix/Layouter.java,186,5
kohsuke,war/resources/scripts/yui/autocomplete-min.js,184,2
kohsuke,core/src/main/java/hudson/util/Iterators.java,182,7
kohsuke,core/src/main/java/hudson/scm/SubversionChangeLogBuilder.java,181,6
kohsuke,war/images/gear.svg,181,1
kohsuke,core/src/main/java/hudson/model/Slave.java,178,80
kohsuke,core/src/main/java/hudson/maven/MavenReporter.java,177,19
kohsuke,core/src/main/java/hudson/util/StackedAreaRenderer2.java,176,1
kohsuke,core/src/main/java/hudson/matrix/Combination.java,173,10
kohsuke,core/src/main/java/hudson/tasks/junit/SuiteResult.java,173,15
kohsuke,war/resources/scripts/yui/resize/assets/resize-core.css,173,1
kohsuke,core/src/main/java/hudson/maven/PomInfo.java,169,17
kohsuke,core/src/main/java/hudson/model/Item.java,169,18
kohsuke,core/src/main/java/hudson/model/JobCollection.java,169,4
kohsuke,core/src/main/java/hudson/security/AuthorizationStrategy.java,169,17
kohsuke,core/src/main/java/hudson/ExpressionFactory2.java,168,2
kohsuke,core/src/main/java/hudson/maven/MavenUtil.java,168,19
kohsuke,core/src/main/java/hudson/util/ShiftedCategoryAxis.java,168,5
kohsuke,core/src/main/resources/hudson/model/Hudson/configure.jelly,168,34
kohsuke,remoting/src/main/java/hudson/remoting/ExportTable.java,168,9
kohsuke,war/src/launcher/java/Main.java,167,10
kohsuke,core/src/main/java/hudson/maven/reporters/MavenFingerprinter.java,166,16
kohsuke,remoting/src/main/java/hudson/remoting/Pipe.java,166,11
kohsuke,remoting/src/main/java/hudson/remoting/ProxyWriter.java,166,1
kohsuke,core/src/main/java/hudson/model/ViewJob.java,165,9
kohsuke,core/src/main/java/hudson/util/CopyOnWriteList.java,165,13
kohsuke,lib/commons-jexl/poms/commons-jexl-1.1-hudson-20061106.pom,163,1
kohsuke,lib/commons-jexl/poms/commons-jexl-1.1-hudson-SNAPSHOT.pom,163,1
kohsuke,core/src/main/java/hudson/tasks/BuildStep.java,162,13
kohsuke,war/resources/scripts/yui/container-min.js,162,3
kohsuke,core/src/main/java/hudson/tasks/MailAddressResolver.java,160,5
kohsuke,war/resources/scripts/yui/container/assets/container-core.css,160,2
