Author,File Name,Number of Edits,Author Edits/Commits on the file 
kohsuke,core/src/main/resources/hudson/model/AbstractModelObject/editDescription.jelly,14,5
kohsuke,core/src/main/resources/hudson/model/Hudson/loginError.jelly,14,3
kohsuke,core/src/main/resources/hudson/model/Hudson/systemInfo.jelly,14,3
kohsuke,core/src/main/resources/hudson/model/Slave/ComputerImpl/log.jelly,14,5
kohsuke,core/src/main/resources/hudson/slaves/SlaveComputer/log.jelly,14,1
kohsuke,core/src/main/resources/hudson/tasks/junit/TabulatedResult/index.jelly,14,2
kohsuke,core/src/main/resources/lib/hudson/rssBar.jelly,14,4
kohsuke,core/src/main/resources/lib/layout/pane.jelly,14,2
kohsuke,maven-agent/src/main/resources/hudson/maven/agent/classworlds.conf,14,1
kohsuke,remoting/src/main/java/hudson/remoting/GCCommand.java,14,1
kohsuke,war/resources/help/maven/ignore-upstrem-changes.html,14,1
kohsuke,war/resources/help/parameter/file.html,14,1
kohsuke,war/resources/help/project-config/maven.html,14,3
kohsuke,war/resources/help/project-config/parameterized-build.html,14,1
kohsuke,war/resources/help/system-config/master-slave/numExecutors.html,14,2
kohsuke,war/resources/help/system-config/master-slave/remoteFS.html,14,3
kohsuke,war/resources/help/system-config/numExecutors.html,14,1
kohsuke,war/resources/help/update-center/proxy-server.html,14,1
masanobuimai,war/resources/help/system-config/homeDirectory_ja.html,14,1
masanobuimai,war/resources/help/system-config/numExecutors_ja.html,14,1
oguzdag,core/src/main/resources/hudson/model/AbstractBuild/index_tr.properties,14,5
oguzdag,war/resources/help/project-config/maven_tr.html,14,2
oguzdag,war/resources/help/project-config/parameterized-build_tr.html,14,1
oguzdag,war/resources/help/security/ldap/rootDN_tr.html,14,1
oguzdag,war/resources/help/system-config/master-slave/numExecutors_tr.html,14,1
oguzdag,war/resources/help/system-config/numExecutors_tr.html,14,1
oguzdag,war/resources/help/update-center/proxy-server_tr.html,14,1
sogabe,core/src/main/resources/hudson/model/Hudson/configureExecutors_ja.properties,14,2
sogabe,war/resources/help/update-center/proxy-server_ja.html,14,1
sorokh,core/src/main/resources/hudson/model/AbstractBuild/index_nl.properties,14,2
stephenconnolly,core/src/main/java/hudson/scm/CVSSCM.java,14,2
stephenconnolly,core/src/main/java/hudson/tasks/test/AbstractTestResultAction.java,14,2
swiest,core/src/main/resources/hudson/model/AbstractBuild/index_de.properties,14,3
swiest,war/resources/help/security/ldap/userSearchFilter_de.html,14,1
bagrehc,core/src/main/resources/hudson/maven/MavenModuleSet/index_pt_BR.properties,13,2
bagrehc,core/src/main/resources/hudson/model/AbstractBuild/index_pt_BR.properties,13,4
bagrehc,core/src/main/resources/hudson/security/Messages_pt_BR.properties,13,1
bagrehc,war/resources/help/system-config/numExecutors_pt_BR.html,13,1
cactusman,core/src/main/resources/hudson/model/AbstractItem/noWorkspace_ja.properties,13,1
dvrzalik,core/src/main/java/hudson/tasks/test/AggregatedTestResultAction.java,13,1
elefevre,war/resources/help/project-config/batch_fr.html,13,2
elefevre,war/resources/help/project-config/triggerRemotely_fr.html,13,2
frizbog,core/src/main/java/hudson/security/AuthenticationProcessingFilter2.java,13,1
jazzjack,core/src/main/resources/hudson/security/Messages_ru.properties,13,1
jazzjack,war/resources/help/matrix/jdk_ru.html,13,1
jazzjack,war/resources/help/security/ldap/userSearchBase_ru.html,13,1
jazzjack,war/resources/help/system-config/master-slave/remoteFS_ru.html,13,1
kohsuke,core/src/main/java/hudson/api/CustomExposureBean.java,13,2
kohsuke,core/src/main/java/hudson/maven/AbortException.java,13,1
kohsuke,core/src/main/java/hudson/util/EnumConverter.java,13,1
kohsuke,core/src/main/resources/hudson/model/AbstractModelObject/descriptionForm.jelly,13,5
kohsuke,core/src/main/resources/hudson/model/Computer/sidepanel.jelly,13,4
kohsuke,core/src/main/resources/hudson/model/PermalinkProjectAction/Permalink/link.jelly,13,2
kohsuke,core/src/main/resources/hudson/model/UpdateCenter/ConnectionCheckJob/row.jelly,13,2
kohsuke,core/src/main/resources/hudson/model/UpdateCenter/body.jelly,13,2
kohsuke,core/src/main/resources/hudson/scm/CVSSCM/DescriptorImpl/versionCheckError.jelly,13,1
kohsuke,core/src/main/resources/hudson/security/Messages.properties,13,6
kohsuke,core/src/main/resources/hudson/slaves/CommandStartMethod/main.jelly,13,1
kohsuke,core/src/main/resources/lib/form/triggerDescriptorList.jelly,13,1
kohsuke,core/src/main/resources/lib/hudson/buildStatusSummary.groovy,13,1
kohsuke,core/src/main/resources/lib/hudson/node.jelly,13,3
kohsuke,debian/control,13,2
kohsuke,jnlp-agent/src/main/java/hudson/jnlp/Listener.java,13,3
kohsuke,remoting/src/main/java/hudson/remoting/Future.java,13,1
kohsuke,remoting/src/main/java/hudson/remoting/IReadResolve.java,13,1
kohsuke,remoting/src/main/java/hudson/remoting/RequestAbortedException.java,13,1
kohsuke,test/src/main/preset-data/svn-repo/db/revprops/0/1,13,1
kohsuke,test/src/test/resources/hudson/model/HudsonTest/testSimpleConfigSubmit/hudson.tasks.Ant.xml,13,1
kohsuke,test/src/test/resources/hudson/model/HudsonTest/testSimpleConfigSubmit/hudson.tasks.Maven.xml,13,1
kohsuke,war/resources/WEB-INF/sun-web.xml,13,4
kohsuke,war/resources/css/color.css,13,1
kohsuke,war/resources/scripts/yui/dom/dom-debug.js,13,1
masanobuimai,war/resources/help/project-config/slave_ja.html,13,1
masanobuimai,war/resources/help/project-config/triggerRemotely_ja.html,13,1
oguzdag,core/src/main/resources/hudson/security/Messages_tr.properties,13,3
oguzdag,war/resources/help/security/ldap/userSearchFilter_tr.html,13,1
oguzdag,war/resources/help/system-config/master-slave/remoteFS_tr.html,13,2
ramapulavarthi,remoting/src/main/java/hudson/remoting/UserRequest.java,13,2
redsolo,core/src/main/resources/hudson/model/DirectoryBrowserSupport/dir.jelly,13,1
sogabe,core/src/main/resources/hudson/model/Hudson/manage.jelly,13,1
sogabe,core/src/main/resources/hudson/security/Messages.properties,13,2
sogabe,war/resources/help/parameter/file_ja.html,13,1
sogabe,war/resources/help/security/ldap/userSearchFilter_ja.html,13,3
sogabe,war/resources/help/system-config/master-slave/numExecutors_ja.html,13,2
sorokh,core/src/main/resources/hudson/maven/MavenModuleSet/index_nl.properties,13,1
sorokh,core/src/main/resources/hudson/security/Messages_nl.properties,13,1
swiest,war/resources/help/tasks/mailer/sendToindividuals_de.html,13,1
vsizikov,core/src/main/resources/hudson/model/Project/configure-entries.jelly,13,1
bagrehc,core/src/main/resources/hudson/scm/Messages_pt_BR.properties,12,1
bagrehc,war/resources/help/matrix/jdk_pt_BR.html,12,1
bagrehc,war/resources/help/project-config/slave_pt_BR.html,12,1
bagrehc,war/resources/help/project-config/triggerRemotely_pt_BR.html,12,1
bagrehc,war/resources/help/security/ldap/userSearchBase_pt_BR.html,12,1
bagrehc,war/resources/help/security/ldap/userSearchFilter_pt_BR.html,12,1
bagrehc,war/resources/help/system-config/master-slave/remoteFS_pt_BR.html,12,1
basil3whitehouse,debian/dirs,12,1
dvrzalik,core/src/main/java/hudson/tasks/test/AbstractTestResultAction.java,12,1
dwdyer,core/src/main/java/hudson/tasks/junit/ClassResult.java,12,1
elefevre,core/src/main/resources/hudson/PluginManager/advanced_fr.properties,12,2
elefevre,core/src/main/resources/hudson/scm/SubversionSCM/config_fr.properties,12,3
elefevre,war/resources/help/_cvs/legacy_fr.html,12,1
elefevre,war/resources/help/project-config/disable_fr.html,12,2
elefevre,war/resources/help/project-config/poll-scm_fr.html,12,2
elefevre,war/resources/help/project-config/upstream_fr.html,12,2
elefevre,war/resources/help/security/full-control-once-logged-in_fr.html,12,2
elefevre,war/resources/help/security/no-authorization_fr.html,12,2
elefevre,war/resources/help/tasks/aggregate-test/help_fr.html,12,1
jazzjack,core/src/main/resources/hudson/scm/Messages_ru.properties,12,1
jazzjack,war/resources/help/project-config/batch_ru.html,12,1
jazzjack,war/resources/help/project-config/slave_ru.html,12,1
kohsuke,core/.cvsignore,12,2
kohsuke,core/src/main/java/hudson/tasks/junit/AbortException.java,12,2
kohsuke,core/src/main/resources/hudson/maven/MavenModuleSet/actions.jelly,12,4
kohsuke,core/src/main/resources/hudson/maven/MavenProbeAction/threads.jelly,12,2
kohsuke,core/src/main/resources/hudson/model/AbstractBuild/index_ja.properties,12,1
kohsuke,core/src/main/resources/hudson/model/AbstractProject/wipeOutWorkspace.jelly,12,2
kohsuke,core/src/main/resources/hudson/model/Build/changes.jelly,12,1
kohsuke,core/src/main/resources/hudson/model/Computer/builds.jelly,12,1
kohsuke,core/src/main/resources/hudson/model/Computer/custom-jnlp.jelly,12,1
kohsuke,core/src/main/resources/hudson/model/Hudson/noPrincipal.jelly,12,1
kohsuke,core/src/main/resources/hudson/model/Job/delete.jelly,12,1
kohsuke,core/src/main/resources/hudson/model/ListView/delete.jelly,12,2
kohsuke,core/src/main/resources/hudson/model/ParametersDefinitionProperty/config.jelly,12,1
kohsuke,core/src/main/resources/hudson/model/Slave/ComputerImpl/disconnect.jelly,12,3
kohsuke,core/src/main/resources/hudson/model/User/builds.jelly,12,6
kohsuke,core/src/main/resources/hudson/model/User/index.jelly,12,2
kohsuke,core/src/main/resources/hudson/model/View/builds.jelly,12,1
kohsuke,core/src/main/resources/hudson/model/View/delete.jelly,12,2
kohsuke,core/src/main/resources/hudson/scm/Messages_ja.properties,12,1
kohsuke,core/src/main/resources/hudson/slaves/SlaveComputer/disconnect.jelly,12,1
kohsuke,core/src/main/resources/hudson/tasks/BuildTrigger/config.jelly,12,6
kohsuke,core/src/main/resources/hudson/tasks/LogRotator/config.jelly,12,3
kohsuke,core/src/main/resources/hudson/util/IncompatibleAntVersionDetected/index.jelly,12,1
kohsuke,core/src/main/resources/hudson/util/IncompatibleServletVersionDetected/index.jelly,12,5
kohsuke,core/src/main/resources/lib/hudson/project/config-buildWrappers.jelly,12,3
kohsuke,core/src/main/resources/lib/hudson/setIconSize.jelly,12,1
kohsuke,lib/assembly.xml,12,2
kohsuke,lib/import-winstone.sh,12,1
kohsuke,maven-agent/src/main/java/hudson/maven/agent/classworlds-2.0.6.conf,12,1
kohsuke,war/resources/help/matrix/jdk.html,12,3
kohsuke,war/resources/help/project-config/slave.html,12,1
kohsuke,war/resources/help/security/ldap/userSearchBase.html,12,1
kohsuke,war/resources/help/security/ldap/userSearchFilter.html,12,1
kohsuke,war/resources/help/tasks/aggregate-test/help.html,12,2
kohsuke,war/resources/scripts/yui/autocomplete/autocomplete-min.js,12,2
kohsuke,war/resources/scripts/yui/container/container_core-min.js,12,2
masanobuimai,war/resources/help/project-config/batch_ja.html,12,1
masanobuimai,war/resources/help/project-config/disable_ja.html,12,1
oguzdag,core/src/main/resources/hudson/scm/Messages_tr.properties,12,3
oguzdag,war/resources/help/project-config/disable_tr.html,12,2
oguzdag,war/resources/help/project-config/upstream_tr.html,12,3
oguzdag,war/resources/help/security/ldap/userSearchBase_tr.html,12,1
redsolo,core/src/test/resources/hudson/tasks/junit/junit-report-1233.xml,12,1
sogabe,core/src/main/resources/hudson/PluginManager/advanced_ja.properties,12,4
sogabe,war/resources/help/maven/ignore-upstrem-changes_ja.html,12,1
sogabe,war/resources/help/maven/redeploy-id_ja.html,12,1
stephenconnolly,core/src/main/java/hudson/scm/SubversionSCM.java,12,1
stephenconnolly,core/src/main/java/hudson/slaves/ComputerLauncher.java,12,2
stephenconnolly,core/src/main/resources/lib/hudson/executors.jelly,12,2
swiest,war/resources/help/project-config/batch_de.html,12,1
swiest,war/resources/help/project-config/disable_de.html,12,1
swiest,war/resources/help/project-config/poll-scm_de.html,12,1
swiest,war/resources/help/project-config/triggerRemotely_de.html,12,2
swiest,war/resources/help/project-config/upstream_de.html,12,1
swiest,war/resources/help/security/full-control-once-logged-in_de.html,12,1
vsizikov,war/resources/help/project-config/triggerRemotely.html,12,1
bagrehc,war/resources/help/project-config/batch_pt_BR.html,11,1
bagrehc,war/resources/help/project-config/disable_pr_BR.html,11,2
bagrehc,war/resources/help/project-config/disable_pt_BR.html,11,1
bagrehc,war/resources/help/system-config/master-slave/description_pt_BR.html,11,1
bagrehc,war/resources/help/tasks/aggregate-test/auto-aggregate_pt_BR.html,11,1
bagrehc,war/resources/help/tasks/aggregate-test/help_pt_BR.html,11,1
bruyeron,core/src/main/java/hudson/scm/SubversionUpdateEventHandler.java,11,1
dwdyer,core/src/main/java/hudson/tasks/junit/TestResultAction.java,11,1
elefevre,core/src/main/resources/hudson/matrix/MatrixProject/configure-entries_fr.properties,11,2
elefevre,core/src/main/resources/hudson/tasks/Mailer/global_fr.properties,11,4
elefevre,war/resources/help/maven/maven-opts_fr.html,11,2
elefevre,war/resources/help/parameter/string_fr.html,11,1
elefevre,war/resources/help/project-config/downstream_fr.html,11,3
elefevre,war/resources/help/system-config/master-slave/description_fr.html,11,2
elefevre,war/resources/help/tasks/aggregate-test/auto-aggregate_fr.html,11,1
elefevre,war/resources/help/tasks/mailer/default-suffix_fr.html,11,2
elefevre,war/resources/help/tasks/mailer/sendToindividuals_fr.html,11,1
elefevre,war/resources/help/tasks/mailer/smtp-server_fr.html,11,1
elefevre,war/resources/help/tasks/mailer/smtp-use-ssl_fr.html,11,1
elefevre,war/resources/help/triggers/SCMTrigger/concurrency_fr.html,11,2
huybrechts,core/src/main/java/hudson/model/AbstractProject.java,11,1
jazzjack,core/src/main/resources/hudson/matrix/MatrixProject/configure-entries_ru.properties,11,2
jazzjack,core/src/main/resources/hudson/model/AbstractItem/noWorkspace_ru.properties,11,1
jazzjack,war/resources/help/_cvs/branch_ru.html,11,1
jazzjack,war/resources/help/project-config/disable_ru.html,11,1
jazzjack,war/resources/help/security/full-control-once-logged-in_ru.html,11,1
jazzjack,war/resources/help/security/no-authorization_ru.html,11,1
jazzjack,war/resources/help/system-config/master-slave/description_ru.html,11,1
jazzjack,war/resources/help/system-config/master-slave/label_ru.html,11,1
jazzjack,war/resources/help/tasks/mailer/smtp-server_ru.html,11,1
jglick,core/src/main/java/hudson/PluginManager.java,11,1
kohsuke,core/src/main/resources/hudson/PluginManager/sidepanel.jelly,11,1
kohsuke,core/src/main/resources/hudson/maven/MavenProbeAction/sidepanel.jelly,11,1
kohsuke,core/src/main/resources/hudson/model/Computer/_script.jelly,11,1
kohsuke,core/src/main/resources/hudson/model/ComputerSet/sidepanel.jelly,11,1
kohsuke,core/src/main/resources/hudson/model/FreeStyleProject/configure-advanced.jelly,11,1
kohsuke,core/src/main/resources/hudson/model/Label/sidepanel.jelly,11,1
kohsuke,core/src/main/resources/hudson/model/LegacySlave/config.jelly,11,2
kohsuke,core/src/main/resources/hudson/model/UpdateCenter/sidepanel.jelly,11,1
kohsuke,core/src/main/resources/hudson/scm/SubversionSCM/global.jelly,11,2
kohsuke,core/src/main/resources/hudson/security/HudsonPrivateSecurityRealm/success.jelly,11,1
kohsuke,core/src/main/resources/hudson/tasks/JavadocArchiver/config.jelly,11,4
kohsuke,core/src/main/resources/hudson/util/NoTempDir/index.jelly,11,1
kohsuke,core/src/main/resources/lib/form/description.jelly,11,1
kohsuke,core/src/main/resources/lib/form/nested.jelly,11,1
kohsuke,core/src/main/resources/lib/form/richtextarea.jelly,11,1
kohsuke,core/src/main/resources/lib/hudson/actions.jelly,11,5
kohsuke,core/src/main/resources/lib/hudson/project/config-quietPeriod.jelly,11,2
kohsuke,test/src/main/preset-data/svn-repo/db/revs/0/0,11,1
kohsuke,war/resources/help/project-config/batch.html,11,1
kohsuke,war/resources/help/project-config/disable.html,11,1
kohsuke,war/resources/help/system-config/master-slave/description.html,11,1
kohsuke,war/resources/help/system-config/master-slave/localFS.html,11,2
kohsuke,war/resources/help/tasks/aggregate-test/auto-aggregate.html,11,1
kohsuke,war/resources/scripts/yui/button/button-beta-min.js,11,2
kohsuke,war/resources/scripts/yui/button/button-min.js,11,1
kohsuke,war/resources/scripts/yui/event/event-min.js,11,2
masanobuimai,war/resources/help/project-config/upstream_ja.html,11,1
oguzdag,core/src/main/resources/hudson/matrix/MatrixProject/configure-entries_tr.properties,11,4
oguzdag,core/src/main/resources/hudson/tasks/Mailer/global_tr.properties,11,4
oguzdag,war/resources/help/matrix/jdk_tr.html,11,2
oguzdag,war/resources/help/project-config/batch_tr.html,11,2
oguzdag,war/resources/help/project-config/slave_tr.html,11,1
oguzdag,war/resources/help/security/full-control-once-logged-in_tr.html,11,1
oguzdag,war/resources/help/system-config/master-slave/label_tr.html,11,1
oguzdag,war/resources/help/tasks/aggregate-test/auto-aggregate_tr.html,11,1
sogabe,war/resources/help/project-config/parameterized-build_ja.html,11,1
sogabe,war/resources/help/security/ldap/userSearchBase_ja.html,11,3
sorokh,core/src/main/resources/hudson/scm/SubversionSCM/config_nl.properties,11,1
sorokh,core/src/main/resources/hudson/tasks/junit/Messages_nl.properties,11,1
sorokh,war/resources/help/tasks/mailer/smtp-server_nl.html,11,1
stephenconnolly,core/src/main/java/hudson/model/Project.java,11,2
stephenconnolly,core/src/main/resources/hudson/model/Node/Availability/DEMAND.jelly,11,1
swiest,core/src/main/resources/hudson/matrix/MatrixProject/configure-entries_de.properties,11,3
swiest,core/src/main/resources/hudson/model/AbstractItem/noWorkspace_de.properties,11,2
swiest,core/src/main/resources/hudson/scm/SubversionSCM/config_de.properties,11,2
swiest,core/src/main/resources/hudson/tasks/Mailer/global_de.properties,11,3
swiest,core/src/main/resources/hudson/tasks/junit/Messages_de.properties,11,2
swiest,war/resources/help/_cvs/branch_de.html,11,1
swiest,war/resources/help/system-config/master-slave/description_de.html,11,1
swiest,war/resources/help/system-config/master-slave/label_de.html,11,1
swiest,war/resources/help/tasks/aggregate-test/auto-aggregate_de.html,11,1
swiest,war/resources/help/tasks/mailer/smtp-server_de.html,11,1
bagrehc,core/src/main/resources/hudson/maven/MavenBuild/executedMojos_pt_BR.properties,10,1
bagrehc,core/src/main/resources/hudson/model/Hudson/managePlugins_pt_BR.properties,10,2
bagrehc,core/src/main/resources/hudson/model/Hudson/projectRelationship-help_pt_BR.properties,10,2
bagrehc,war/resources/help/_cvs/branch_pt_BR.html,10,1
bagrehc,war/resources/help/_cvs/legacy_pt_BR.html,10,1
bagrehc,war/resources/help/project-config/archive-artifact_pt_BR.html,10,1
bagrehc,war/resources/help/project-config/upstream_pt_BR.html,10,1
bagrehc,war/resources/help/security/no-authorization_pt_BR.html,10,1
bagrehc,war/resources/help/tasks/mailer/smtp-server_pt_BR.html,10,1
dvrzalik,core/src/main/java/hudson/matrix/MatrixBuild.java,10,1
dwdyer,core/src/main/resources/lib/test/bar.jelly,10,1
elefevre,core/src/main/resources/hudson/maven/MavenBuild/executedMojos_fr.properties,10,3
elefevre,core/src/main/resources/hudson/maven/MavenModuleSet/configure-entries_fr.properties,10,5
elefevre,core/src/main/resources/hudson/model/AbstractProject/svn-password_fr.properties,10,1
elefevre,core/src/main/resources/hudson/model/Hudson/managePlugins_fr.properties,10,2
elefevre,core/src/main/resources/hudson/model/Hudson/noJob_fr.properties,10,5
elefevre,core/src/main/resources/hudson/model/Hudson/projectRelationship-help_fr.properties,10,4
elefevre,core/src/main/resources/hudson/tasks/junit/CaseResult/index_fr.properties,10,3
elefevre,core/src/main/resources/hudson/util/IncompatibleAntVersionDetected/index_fr.properties,10,2
elefevre,war/resources/help/_cvs/modules_fr.html,10,2
elefevre,war/resources/help/ant/ant-properties_fr.html,10,3
elefevre,war/resources/help/project-config/ant_fr.html,10,2
elefevre,war/resources/help/project-config/archive-artifact_fr.html,10,3
elefevre,war/resources/help/system-config/master-slave/label_fr.html,10,2
elefevre,war/resources/help/tasks/mailer/url_fr.html,10,1
jazzjack,core/src/main/resources/hudson/maven/MavenBuild/executedMojos_ru.properties,10,1
jazzjack,core/src/main/resources/hudson/model/Hudson/managePlugins_ru.properties,10,1
jazzjack,core/src/main/resources/hudson/scm/SubversionSCM/config_ru.properties,10,2
jazzjack,core/src/main/resources/hudson/tasks/Mailer/global_ru.properties,10,2
jazzjack,war/resources/help/project-config/poll-scm_ru.html,10,1
jazzjack,war/resources/help/project-config/upstream_ru.html,10,1
kohsuke,core/src/main/java/hudson/model/ModelObject.java,10,1
kohsuke,core/src/main/java/hudson/slaves/CommandLauncher.java,10,3
kohsuke,core/src/main/java/hudson/util/Function1.java,10,1
kohsuke,core/src/main/resources/hudson/maven/MavenBuild/executedMojos_ja.properties,10,1
kohsuke,core/src/main/resources/hudson/maven/MavenProbeAction/index.jelly,10,2
kohsuke,core/src/main/resources/hudson/maven/MavenProbeAction/systemProperties.jelly,10,1
kohsuke,core/src/main/resources/hudson/model/FileParameterDefinition/config.jelly,10,1
kohsuke,core/src/main/resources/hudson/model/FileParameterDefinition/index.jelly,10,1
kohsuke,core/src/main/resources/hudson/model/Job/permalinks.jelly,10,1
kohsuke,core/src/main/resources/hudson/model/StringParameterDefinition/config.jelly,10,2
kohsuke,core/src/main/resources/hudson/model/StringParameterDefinition/index.jelly,10,1
kohsuke,core/src/main/resources/hudson/node_monitors/ClockMonitor/column.jelly,10,3
kohsuke,core/src/main/resources/hudson/node_monitors/DiskSpaceMonitor/column.jelly,10,3
kohsuke,core/src/main/resources/hudson/node_monitors/ResponseTimeMonitor/column.jelly,10,2
kohsuke,core/src/main/resources/hudson/node_monitors/SwapSpaceMonitor/column.jelly,10,2
kohsuke,core/src/main/resources/hudson/security/HudsonPrivateSecurityRealm/Details/config.jelly,10,4
kohsuke,core/src/main/resources/hudson/tasks/test/TestResultProjectAction/index.jelly,10,1
kohsuke,core/src/main/resources/hudson/util/HudsonFailedToLoad/index.jelly,10,1
kohsuke,core/src/main/resources/hudson/widgets/HistoryWidget/entries.jelly,10,1
kohsuke,core/src/main/resources/lib/form/block.jelly,10,1
kohsuke,core/src/main/resources/lib/form/helpArea.jelly,10,1
kohsuke,core/src/main/resources/lib/hudson/ballColorTd.jelly,10,3
kohsuke,core/src/main/resources/lib/hudson/buildProgressBar.jelly,10,4
kohsuke,core/src/main/resources/lib/hudson/project/projectActionFloatingBox.jelly,10,1
kohsuke,core/src/main/resources/lib/layout/yui.jelly,10,3
kohsuke,test/src/main/java/org/jvnet/hudson/test/LenientRunnable.java,10,1
kohsuke,war/resources/help/_cvs/branch.html,10,2
kohsuke,war/resources/help/_cvs/legacy.html,10,2
kohsuke,war/resources/help/parameter/string.html,10,1
kohsuke,war/resources/help/project-config/upstream.html,10,1
kohsuke,war/resources/help/security/no-authorization.html,10,1
kohsuke,war/resources/help/tasks/mailer/smtp-server.html,10,1
kohsuke,war/resources/scripts/yui/dragdrop/dragdrop-min.js,10,2
kohsuke,war/resources/scripts/yui/resize/resize-beta-min.js,10,1
kohsuke,war/resources/scripts/yui/treeview/treeview-min.js,10,2
lucamilanesio,core/src/main/java/hudson/model/ParameterDefinition.java,10,1
masanobuimai,war/resources/help/project-config/downstream_ja.html,10,1
masanobuimai,war/resources/help/project-config/poll-scm_ja.html,10,1
oguzdag,core/src/main/resources/hudson/maven/MavenBuild/executedMojos_tr.properties,10,4
oguzdag,core/src/main/resources/hudson/model/AbstractProject/svn-password_tr.properties,10,1
oguzdag,core/src/main/resources/hudson/model/Hudson/managePlugins_tr.properties,10,4
oguzdag,core/src/main/resources/hudson/scm/SubversionSCM/config_tr.properties,10,5
oguzdag,war/resources/help/_cvs/branch_tr.html,10,1
oguzdag,war/resources/help/project-config/shell_tr.html,10,3
oguzdag,war/resources/help/project-config/triggerRemotely_tr.html,10,2
oguzdag,war/resources/help/system-config/master-slave/description_tr.html,10,1
oguzdag,war/resources/help/tasks/mailer/sendToindividuals_tr.html,10,1
redsolo,core/src/test/java/hudson/UtilTest.java,10,1
sogabe,core/src/main/resources/hudson/tasks/Mailer/global_ja.properties,10,3
sogabe,war/resources/help/_cvs/branch_ja.html,10,2
sogabe,war/resources/help/_cvs/legacy_ja.html,10,1
sogabe,war/resources/help/matrix/jdk_ja.html,10,2
sogabe,war/resources/help/system-config/master-slave/remoteFS_ja.html,10,3
sogabe,war/resources/help/tasks/aggregate-test/help_ja.html,10,1
sorokh,core/src/main/resources/hudson/maven/MavenBuild/executedMojos_nl.properties,10,1
sorokh,core/src/main/resources/hudson/model/Hudson/managePlugins_nl.properties,10,1
sorokh,core/src/main/resources/hudson/model/Hudson/projectRelationship-help_nl.properties,10,2
sorokh,core/src/main/resources/hudson/util/IncompatibleAntVersionDetected/index_nl.properties,10,1
sorokh,war/resources/help/tasks/mailer/sendToindividuals_nl.html,10,1
sorokh,war/resources/help/tasks/mailer/smtp-use-ssl_nl.html,10,1
sorokh,war/resources/help/tasks/mailer/url_nl.html,10,1
sorokh,war/resources/help/triggers/SCMTrigger/concurrency_nl.html,10,1
swiest,core/src/main/resources/hudson/maven/MavenBuild/executedMojos_de.properties,10,1
swiest,war/resources/help/_cvs/legacy_de.html,10,1
swiest,war/resources/help/ant/ant-properties_de.html,10,1
swiest,war/resources/help/project-config/archive-artifact_de.html,10,1
swiest,war/resources/help/project-config/javadoc-keep-all_de.html,10,1
swiest,war/resources/help/security/ldap/userSearchBase_de.html,10,1
swiest,war/resources/help/security/no-authorization_de.html,10,1
swiest,war/resources/help/security/private-realm/allow-signup_de.html,10,1
swiest,war/resources/help/tasks/mailer/smtp-use-ssl_de.html,10,1
swiest,war/resources/help/tasks/mailer/url_de.html,10,1
swiest,war/resources/help/triggers/SCMTrigger/concurrency_de.html,10,1
vsizikov,core/src/main/resources/hudson/model/Run/delete.jelly,10,1
bagrehc,core/src/main/resources/hudson/tasks/Mailer/global_pt_BR.properties,9,2
bagrehc,war/resources/help/project-config/downstream_pt_BR.html,9,1
bagrehc,war/resources/help/project-config/poll-scm_pt_BR.html,9,1
bagrehc,war/resources/help/security/full-control-once-logged-in_pt_BR.html,9,1
bagrehc,war/resources/help/system-config/master-slave/label_pt_BR.html,9,1
bagrehc,war/resources/help/tasks/mailer/url_pt_BR.html,9,1
bagrehc,war/resources/help/triggers/SCMTrigger/concurrency_pt_BR.html,9,1
cactusman,core/src/main/resources/hudson/model/Hudson/noJob.properties,9,1
cactusman,core/src/main/resources/hudson/tasks/Messages_ja.properties,9,2
cactusman,core/src/main/resources/lib/hudson/executors_ko.properties,9,1
dwdyer,core/src/main/java/hudson/tasks/junit/TestResult.java,9,1
elefevre,core/src/main/resources/hudson/maven/MavenModuleSet/index_fr.properties,9,7
elefevre,core/src/main/resources/hudson/model/AbstractProject/sidepanel_fr.properties,9,5
elefevre,core/src/main/resources/hudson/model/AbstractProject/svn-password.properties,9,1
elefevre,core/src/main/resources/hudson/model/Hudson/fingerprintCheck_fr.properties,9,3
elefevre,core/src/main/resources/hudson/model/NoFingerprintMatch/index_fr.properties,9,1
elefevre,core/src/main/resources/hudson/util/DoubleLaunchChecker/index_fr.properties,9,3
elefevre,core/src/main/resources/lib/hudson/executors_fr.properties,9,3
elefevre,war/resources/help/project-config/javadoc-keep-all_fr.html,9,1
elefevre,war/resources/help/security/ldap/groupSearchBase_fr.html,9,1
elefevre,war/resources/help/security/private-realm/allow-signup_fr.html,9,1
elefevre,war/resources/help/system-config/master-slave/name_fr.html,9,2
jazzjack,core/src/main/resources/hudson/model/Hudson/projectRelationship-help_ru.properties,9,1
jazzjack,war/resources/help/_cvs/legacy_ru.html,9,1
jazzjack,war/resources/help/ant/ant-properties_ru.html,9,1
jazzjack,war/resources/help/project-config/downstream_ru.html,9,1
jazzjack,war/resources/help/project-config/triggerRemotely_ru.html,9,1
jazzjack,war/resources/help/tasks/mailer/sendToindividuals_ru.html,9,1
jazzjack,war/resources/help/tasks/mailer/smtp-use-ssl_ru.html,9,1
jazzjack,war/resources/help/triggers/SCMTrigger/concurrency_ru.html,9,1
kohsuke,core/README.txt,9,2
kohsuke,core/src/main/java/hudson/lifecycle/WindowsServiceLifecycle.java,9,1
